#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ccr6	Ptprc	10090.ENSMUSP00000095029	10090.ENSMUSP00000138350	0	0	0	0	0.115	0	0	0.661	0.687
Ccr6	Foxp3	10090.ENSMUSP00000095029	10090.ENSMUSP00000111405	0	0	0	0	0.111	0	0	0.752	0.770
Ccr6	Ccr7	10090.ENSMUSP00000095029	10090.ENSMUSP00000099423	0	0	0	0.887	0.213	0	0.500	0.633	0.843
Ccr7	Il4	10090.ENSMUSP00000099423	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.748	0.748
Ccr7	Il7r	10090.ENSMUSP00000099423	10090.ENSMUSP00000003981	0	0	0	0	0.383	0	0	0.884	0.925
Ccr7	Cd83	10090.ENSMUSP00000099423	10090.ENSMUSP00000015540	0	0	0	0	0.190	0	0	0.783	0.817
Ccr7	Il10	10090.ENSMUSP00000099423	10090.ENSMUSP00000016673	0	0	0	0	0	0	0	0.767	0.767
Ccr7	Cd40	10090.ENSMUSP00000099423	10090.ENSMUSP00000017799	0	0	0	0	0.251	0.064	0	0.767	0.822
Ccr7	Csf2	10090.ENSMUSP00000099423	10090.ENSMUSP00000019060	0	0	0	0	0.066	0	0	0.704	0.712
Ccr7	Cd4	10090.ENSMUSP00000099423	10090.ENSMUSP00000024044	0	0	0	0	0.188	0.082	0	0.899	0.918
Ccr7	Tnf	10090.ENSMUSP00000099423	10090.ENSMUSP00000025263	0	0	0	0	0.145	0	0	0.775	0.800
Ccr7	Il6	10090.ENSMUSP00000099423	10090.ENSMUSP00000026845	0	0	0	0	0.113	0	0	0.744	0.764
Ccr7	Il17a	10090.ENSMUSP00000099423	10090.ENSMUSP00000027061	0	0	0	0	0	0	0	0.708	0.708
Ccr7	Il1b	10090.ENSMUSP00000099423	10090.ENSMUSP00000028881	0	0	0	0	0.131	0	0	0.691	0.720
Ccr7	Il2	10090.ENSMUSP00000099423	10090.ENSMUSP00000029275	0	0	0	0	0.044	0	0	0.792	0.793
Ccr7	Cd38	10090.ENSMUSP00000099423	10090.ENSMUSP00000030964	0	0	0	0	0.104	0.052	0	0.832	0.845
Ccr7	Itgax	10090.ENSMUSP00000099423	10090.ENSMUSP00000033053	0	0	0	0	0.128	0	0	0.785	0.804
Ccr7	Cxcr3	10090.ENSMUSP00000099423	10090.ENSMUSP00000052444	0	0	0	0.844	0.153	0	0.500	0.438	0.741
Ccr7	Ifnb1	10090.ENSMUSP00000099423	10090.ENSMUSP00000056720	0	0	0	0	0.051	0	0	0.490	0.495
Ccr7	Ifng	10090.ENSMUSP00000099423	10090.ENSMUSP00000063800	0	0	0	0	0.103	0	0	0.838	0.849
Ccr7	Cd86	10090.ENSMUSP00000099423	10090.ENSMUSP00000087047	0	0	0	0	0.193	0	0	0.835	0.861
Ccr7	Foxp3	10090.ENSMUSP00000099423	10090.ENSMUSP00000111405	0	0	0	0	0.044	0	0	0.803	0.803
Ccr7	Ptprc	10090.ENSMUSP00000099423	10090.ENSMUSP00000138350	0	0	0	0	0.198	0	0	0.767	0.806
