#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Csf2	Ido1	10090.ENSMUSP00000019060	10090.ENSMUSP00000033956	0	0	0	0	0.074	0	0	0.694	0.704
Csf2	Ctla4	10090.ENSMUSP00000019060	10090.ENSMUSP00000027164	0	0	0	0	0.120	0	0	0.744	0.765
Csf2	Il22	10090.ENSMUSP00000019060	10090.ENSMUSP00000094449	0	0	0	0	0.091	0	0	0.756	0.768
Csf2	Foxp3	10090.ENSMUSP00000019060	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.769	0.769
Csf2	Ifnb1	10090.ENSMUSP00000019060	10090.ENSMUSP00000056720	0	0	0	0	0.085	0	0	0.838	0.845
Csf2	Cxcl1	10090.ENSMUSP00000019060	10090.ENSMUSP00000031327	0	0	0	0	0.174	0	0	0.869	0.887
Csf2	Il17a	10090.ENSMUSP00000019060	10090.ENSMUSP00000027061	0	0	0	0	0.101	0	0	0.882	0.889
Csf2	Stat5a	10090.ENSMUSP00000019060	10090.ENSMUSP00000102980	0	0	0	0	0.042	0	0.500	0.808	0.900
Csf2	Il6	10090.ENSMUSP00000019060	10090.ENSMUSP00000026845	0	0	0	0	0.221	0	0	0.915	0.931
Csf2	Tnf	10090.ENSMUSP00000019060	10090.ENSMUSP00000025263	0	0	0	0	0.375	0	0	0.908	0.940
Csf2	Ifng	10090.ENSMUSP00000019060	10090.ENSMUSP00000063800	0	0	0	0	0.191	0	0	0.985	0.987
Ctla4	Il4	10090.ENSMUSP00000027164	10090.ENSMUSP00000000889	0	0	0	0	0.090	0	0	0.746	0.759
Ctla4	Il10	10090.ENSMUSP00000027164	10090.ENSMUSP00000016673	0	0	0	0	0.166	0	0	0.860	0.878
Ctla4	Tnf	10090.ENSMUSP00000027164	10090.ENSMUSP00000025263	0	0	0	0	0.081	0	0	0.798	0.806
Ctla4	Il6	10090.ENSMUSP00000027164	10090.ENSMUSP00000026845	0	0	0	0	0.064	0	0	0.749	0.755
